col,uid_ini,uid_rec,uid_win,interac_type,sexi,sexr
mm,22,12,12,play_box,F,M
mm,22,12,12,play_wrestle,F,M
mm,12,22,12,play_box,M,F
mm,22,12,12,play_wrestle,F,M
mm,22,12,12,play_grab/slap/push,F,M
mm,12,22,12,greet,M,F
mm,12,22,NA,greet,M,F
mm,12,22,12,play_grab/slap/push,M,F
mm,12,22,12,agr_chase,M,F
mm,22,12,12,play_mount,F,M
mm,12,22,12,play_grab/slap/push,M,F
mm,12,22,12,play_bite,M,F
mm,22,12,12,play_bite,F,M
mm,22,12,12,play_box,F,M
mm,22,12,12,play_grab/slap/push,F,M
mm,12,22,12,play_grab/slap/push,M,F
mm,12,22,12,play_grab/slap/push,M,F
mm,12,22,12,play_wrestle,M,F
mm,17,13,17,agr_chase,F,M
mm,17,13,17,disp_proximity,F,M
mm,13,17,13,disp_proximity,M,F
mm,12,18,12,play_wrestle,M,M
mm,12,18,12,play_grab/slap/push,M,M
mm,12,18,12,play_wrestle,M,M
mm,12,18,18,play_wrestle,M,M
mm,12,18,18,play_mouthspar,M,M
mm,12,18,18,play_wrestle,M,M
mm,18,12,NA,play_mount,M,M
mm,18,12,NA,play_bite,M,M
mm,18,12,18,play_grab/slap/push,M,M
mm,18,12,18,play_mount,M,M
mm,12,13,NA,greet,M,M
mm,12,13,12,play_mouthspar,M,M
mm,14,18,14,agr_chase,F,M
mm,16,14,NA,sit_<1m,F,F
mm,21,14,NA,greet,F,F
mm,21,16,NA,greet,F,F
mm,21,16,NA,greet,F,F
mm,21,17,NA,allogroom,F,F
mm,14,21,NA,sit_bc,F,F
mm,14,21,NA,greet,F,F
mm,14,21,NA,sit_bc,F,F
mm,14,17,NA,greet,F,F
mm,14,21,NA,sit_<1m,F,F
mm,21,16,16,play_grab/slap/push,F,F
mm,16,21,16,play_wrestle,F,F
mm,21,17,NA,play_chase,F,F
mm,21,17,NA,play_bite,F,F
mm,21,17,NA,allogroom,F,F
mm,14,NA,NA,agr_chase,F,NA
mm,13,21,13,play_grab/slap/push,M,F
mm,13,21,13,play_grab/slap/push,M,F
mm,13,21,13,play_mouthspar,M,F
mm,13,21,13,play_grab/slap/push,M,F
mm,13,21,13,play_grab/slap/push,M,F
mm,13,21,13,play_wrestle,M,F
mm,13,21,NA,play_wrestle,M,F
mm,13,21,NA,play_chase,M,F
mm,21,13,NA,play_mouthspar,F,M
mm,13,22,NA,greet,M,F
mm,17,NA,NA,greet,F,NA
mm,21,17,NA,allogroom,F,F
mm,21,15,NA,sit_<1m,F,M
mm,16,17,16,allogroom,F,F
mm,21,16,NA,play_chase,F,F
mm,14,16,NA,agr_chase,F,F
mm,14,16,NA,disp_simple,F,F
mm,14,NA,NA,allogroom,F,NA
mm,14,NA,NA,sit_bc,F,NA
mm,14,NA,NA,greet,F,NA
mm,14,NA,NA,agr_chase,F,NA
mm,14,NA,NA,greet,F,NA
mm,14,NA,NA,disp_proximity,F,NA
mm,14,NA,14,sit_bc,F,NA
mm,NA,NA,NA,greet,NA,NA
mm,NA,NA,NA,allogroom,NA,NA
mm,NA,NA,NA,allogroom,NA,NA
mm,17,14,NA,sit_bc,F,F
mm,NA,NA,NA,greet,NA,NA
mm,14,NA,14,sit_<1m,F,NA
mm,NA,NA,NA,sit_bc,NA,NA
mm,NA,NA,NA,sit_bc,NA,NA
mm,14,NA,NA,sit_<1m,F,NA
mm,14,NA,NA,allogroom,F,NA
mm,NA,14,NA,greet,NA,F
mm,14,NA,NA,sit_bc,F,NA
mm,14,NA,NA,sit_bc,F,NA
mm,14,NA,NA,sit_bc,F,NA
mm,14,NA,NA,sit_bc,F,NA
mm,NA,NA,NA,sit_bc,NA,NA
mm,NA,NA,NA,sit_bc,NA,NA
mm,NA,NA,NA,sit_bc,NA,NA
mm,17,NA,17,sit_bc,F,NA
mm,NA,NA,NA,allogroom,NA,NA
mm,14,NA,NA,sit_<1m,F,NA
mm,14,NA,NA,sit_bc,F,NA
mm,17,NA,NA,sit_bc,F,NA
mm,17,NA,NA,allogroom,F,NA
mm,NA,14,NA,greet,NA,F
mm,14,NA,NA,sit_bc,F,NA
mm,14,NA,NA,sit_bc,F,NA
mm,NA,NA,NA,sit_bc,NA,NA
mm,NA,14,NA,greet,NA,F
mm,NA,14,NA,greet,NA,F
mm,NA,14,NA,sit_bc,NA,F
mm,22,15,15,sit_bc,F,M
mm,NA,NA,NA,greet,NA,NA
mm,21,22,22,greet,F,F
mm,21,22,22,sit_<1m,F,F
mm,13,18,13,greet,M,M
mm,13,18,13,play_bite,M,M
mm,13,18,13,play_pounce,M,M
mm,18,15,15,play_wrestle,M,M
mm,15,16,15,allogroom,M,F
mm,15,16,15,play_bite,M,F
mm,15,16,15,play_grab/slap/push,M,F
mm,15,16,15,play_bite,M,F
mm,15,16,15,play_grab/slap/push,M,F
mm,15,16,15,play_wrestle,M,F
mm,15,16,15,play_grab/slap/push,M,F
mm,15,16,15,play_bite,M,F
mm,15,16,15,play_grab/slap/push,M,F
mm,15,16,15,play_wrestle,M,F
mm,15,16,15,play_wrestle,M,F
mm,15,NA,15,play_wrestle,M,NA
mm,16,NA,NA,play_wrestle,F,NA
mm,15,22,22,sit_bc,M,F
mm,21,NA,NA,sit_<1m,F,NA
mm,17,14,17,sit_bc,F,F
mm,14,17,14,sit_<1m,F,F
mm,14,21,14,disp_proximity,F,F
mm,21,17,17,sit_<1m,F,F
mm,21,14,14,greet,F,F
mm,14,21,14,greet,F,F
mm,21,16,16,sit_<1m,F,F
mm,21,16,16,sit_bc,F,F
mm,21,14,14,sit_<1m,F,F
mm,21,16,16,sit_bc,F,F
mm,14,21,14,play_chase,F,F
mm,22,18,NA,greet,F,M
mm,15,NA,NA,play_mouthspar,M,NA
mm,15,NA,NA,play_wrestle,M,NA
mm,15,NA,NA,play_box,M,NA
mm,15,NA,15,play_mouthspar,M,NA
mm,15,NA,NA,play_wrestle,M,NA
mm,15,NA,NA,play_mouthspar,M,NA
mm,15,NA,NA,play_box,M,NA
mm,15,12,12,play_grab/slap/push,M,M
mm,15,12,15,play_grab/slap/push,M,M
mm,15,12,15,play_wrestle,M,M
mm,15,12,15,play_chase,M,M
mm,15,12,15,play_wrestle,M,M
mm,15,12,15,play_grab/slap/push,M,M
mm,15,12,15,play_grab/slap/push,M,M
mm,15,12,15,play_mouthspar,M,M
mm,15,12,15,play_grab/slap/push,M,M
mm,15,12,15,play_wrestle,M,M
mm,15,NA,15,sit_bc,M,NA
mm,15,NA,15,play_grab/slap/push,M,NA
mm,15,NA,15,play_box,M,NA
mm,15,NA,15,play_grab/slap/push,M,NA
mm,15,NA,15,play_mouthspar,M,NA
mm,15,NA,15,play_wrestle,M,NA
mm,15,NA,15,play_grab/slap/push,M,NA
mm,15,NA,15,play_wrestle,M,NA
mm,15,NA,15,play_grab/slap/push,M,NA
mm,15,NA,15,play_wrestle,M,NA
mm,15,NA,15,play_grab/slap/push,M,NA
mm,15,NA,15,play_wrestle,M,NA
mm,15,NA,15,play_chase,M,NA
mm,15,NA,15,play_wrestle,M,NA
mm,15,NA,15,play_grab/slap/push,M,NA
mm,15,NA,15,play_wrestle,M,NA
mm,15,NA,15,play_grab/slap/push,M,NA
mm,15,NA,15,play_box,M,NA
mm,15,NA,15,play_grab/slap/push,M,NA
mm,15,NA,15,play_wrestle,M,NA
mm,15,NA,15,play_grab/slap/push,M,NA
mm,15,NA,15,play_wrestle,M,NA
mm,15,NA,15,play_grab/slap/push,M,NA
mm,15,NA,15,play_chase,M,NA
mm,15,NA,15,play_chase,M,NA
mm,15,NA,15,disp_proximity,M,NA
mm,15,18,NA,play_grab/slap/push,M,M
mm,15,18,NA,play_wrestle,M,M
mm,15,18,NA,play_grab/slap/push,M,M
mm,15,18,NA,play_wrestle,M,M
mm,15,18,NA,play_bite,M,M
mm,15,18,NA,play_wrestle,M,M
mm,15,18,NA,play_grab/slap/push,M,M
mm,15,18,NA,play_bite,M,M
mm,15,18,NA,play_wrestle,M,M
mm,15,18,NA,play_bite,M,M
mm,15,18,NA,play_grab/slap/push,M,M
mm,15,18,NA,play_wrestle,M,M
mm,15,18,NA,play_grab/slap/push,M,M
mm,15,18,NA,play_wrestle,M,M
mm,15,18,NA,play_grab/slap/push,M,M
mm,15,18,NA,play_wrestle,M,M
